num_gpu,num_ctx,temperature,config_name,ttft_s,tokens_s,load_s,prompt_eval_s,eval_s,eval_count,error
999,1024,0.2,g999_c1024_t0.2,2.5176155999999996,101.4449506143006,2.2951013,0.2225143,9.5322635,967,
999,1024,0.4,g999_c1024_t0.4,0.143239,101.77030514821124,0.1318192,0.0114198,9.3543986,952,
999,1024,0.8,g999_c1024_t0.8,0.1291407,101.76973073558186,0.1168764,0.0122643,8.9122767,907,
999,2048,0.2,g999_c2048_t0.2,0.12329709999999999,101.61183564813786,0.111121,0.0121761,8.9359669,908,
999,2048,0.4,g999_c2048_t0.4,0.1265672,101.37292977791257,0.1148068,0.0117604,9.7264625,986,
999,2048,0.8,g999_c2048_t0.8,0.1285174,101.3862445096403,0.1164095,0.0121079,9.6758688,981,
999,4096,0.2,g999_c4096_t0.2,2.6630254,100.75506258712365,2.4066112,0.2564142,9.16083,923,
999,4096,0.4,g999_c4096_t0.4,0.1431719,101.78460337704557,0.1305568,0.0126151,8.8323771,899,
999,4096,0.8,g999_c4096_t0.8,0.1323959,102.04578848353192,0.120836,0.0115599,9.1037564,929,
80,1024,0.2,g80_c1024_t0.2,2.5719553,102.2639140978056,2.3447545,0.2272008,6.3169888,646,
80,1024,0.4,g80_c1024_t0.4,0.1288451,102.37287918271092,0.1166802,0.0121649,8.8597684,907,
80,1024,0.8,g80_c1024_t0.8,0.1240347,102.14183324354508,0.11166,0.0123747,7.2839891,744,
80,2048,0.2,g80_c2048_t0.2,0.14083520000000002,101.9151163237553,0.1284743,0.0123609,8.9878718,916,
80,2048,0.4,g80_c2048_t0.4,0.125084,102.42002367650102,0.1135704,0.0115136,9.0412008,926,
80,2048,0.8,g80_c2048_t0.8,0.1409151,102.94443045313128,0.1287543,0.0121608,8.3734496,862,
80,4096,0.2,g80_c4096_t0.2,2.5733634,101.63852772608669,2.3187142,0.2546492,10.291373,1046,
80,4096,0.4,g80_c4096_t0.4,0.13682539999999999,101.665243804669,0.119332,0.0174934,10.3378496,1051,
80,4096,0.8,g80_c4096_t0.8,0.1335681,102.16081838086318,0.1156153,0.0179528,8.114657,829,
60,1024,0.2,g60_c1024_t0.2,2.5965414,101.81289765158328,2.3649375,0.2316039,9.5371021,971,
60,1024,0.4,g60_c1024_t0.4,0.13492200000000001,102.06610967732529,0.1240002,0.0109218,9.395871,959,
60,1024,0.8,g60_c1024_t0.8,0.1169516,102.80676210963742,0.1043719,0.0125797,7.7815893,800,
60,2048,0.2,g60_c2048_t0.2,0.1330047,102.24967930500036,0.1214047,0.0116,8.048925,823,
60,2048,0.4,g60_c2048_t0.4,0.1496366,102.19662151534382,0.1368233,0.0128133,10.9103411,1115,
60,2048,0.8,g60_c2048_t0.8,0.1523936,103.15646723891811,0.1351036,0.01729,7.5419411,778,
60,4096,0.2,g60_c4096_t0.2,2.9039987000000003,101.89276945484323,2.6674014,0.2365973,7.6845492,783,
60,4096,0.4,g60_c4096_t0.4,0.1548865,103.04588876905974,0.1436811,0.0112054,8.666042,893,
60,4096,0.8,g60_c4096_t0.8,0.13002149999999998,102.54031499821801,0.1176477,0.0123738,7.4604803,765,
40,1024,0.2,g40_c1024_t0.2,2.5770922,101.46160143853723,2.3401228,0.2369694,7.6482136,776,
40,1024,0.4,g40_c1024_t0.4,0.126241,102.14948570278598,0.1134081,0.0128329,8.2526113,843,
40,1024,0.8,g40_c1024_t0.8,0.141785,102.1381244640244,0.1291786,0.0126064,7.7639961,793,
40,2048,0.2,g40_c2048_t0.2,0.14124599999999998,102.22860947824746,0.1299852,0.0112608,8.5299018,872,
40,2048,0.4,g40_c2048_t0.4,0.1355578,101.77728933566722,0.1234891,0.0120687,9.5011373,967,
40,2048,0.8,g40_c2048_t0.8,0.16484,101.70956778374787,0.1528492,0.0119908,9.3501528,951,
40,4096,0.2,g40_c4096_t0.2,2.6147356999999998,101.37668110104607,2.3636415,0.2510942,8.4338922,855,
40,4096,0.4,g40_c4096_t0.4,0.1473221,101.61396712296752,0.1353722,0.0119499,9.6049788,976,
40,4096,0.8,g40_c4096_t0.8,0.1255977,102.09642223742418,0.1134577,0.01214,7.2382556,739,
