"timestamp","model","num_gpu","num_ctx","temperature","ttft_s","tokens_s","load_s","prompt_eval_s","eval_s","prompt_eval_count","eval_count","total_tokens","response_chars","error"
"2025-09-30T20:11:33","llama3.1:8b-instruct-q4_0","999","1024","0.2","5.7669","77.5","5.5808","0.1861","1.2773","25","99","124","500",""
"2025-09-30T20:11:35","llama3.1:8b-instruct-q4_0","999","1024","0.4","0.0865","77.93","0.0817","0.0048","1.3089","25","102","127","539",""
"2025-09-30T20:11:36","llama3.1:8b-instruct-q4_0","999","1024","0.8","0.083","77.91","0.0787","0.0043","1.4248","25","111","136","644",""
"2025-09-30T20:11:41","llama3.1:8b-instruct-q4_0","999","2048","0.2","3.2816","77.45","3.1468","0.1347","1.3816","25","107","132","577",""
"2025-09-30T20:11:43","llama3.1:8b-instruct-q4_0","999","2048","0.4","0.0893","77.21","0.0859","0.0035","1.5413","25","119","144","651",""
"2025-09-30T20:11:44","llama3.1:8b-instruct-q4_0","999","2048","0.8","0.0821","77.67","0.0789","0.0033","1.4805","25","115","140","578",""
"2025-09-30T20:11:50","llama3.1:8b-instruct-q4_0","999","4096","0.2","4.1998","77.53","4.0573","0.1425","1.4317","25","111","136","580",""
"2025-09-30T20:11:51","llama3.1:8b-instruct-q4_0","999","4096","0.4","0.0806","77.6","0.0762","0.0044","1.4691","25","114","139","565",""
"2025-09-30T20:11:53","llama3.1:8b-instruct-q4_0","999","4096","0.8","0.0839","77.6","0.0796","0.0043","1.2757","25","99","124","525",""
"2025-09-30T20:11:57","llama3.1:8b-instruct-q4_0","80","1024","0.2","3.1338","77.51","2.995","0.1387","1.5353","25","119","144","563",""
"2025-09-30T20:11:59","llama3.1:8b-instruct-q4_0","80","1024","0.4","0.0791","77.83","0.0762","0.0028","1.4261","25","111","136","567",""
"2025-09-30T20:12:01","llama3.1:8b-instruct-q4_0","80","1024","0.8","0.1013","77.76","0.0988","0.0025","1.5047","25","117","142","627",""
"2025-09-30T20:12:05","llama3.1:8b-instruct-q4_0","80","2048","0.2","3.1445","77.51","3.0021","0.1424","1.3031","25","101","126","546",""
"2025-09-30T20:12:06","llama3.1:8b-instruct-q4_0","80","2048","0.4","0.0807","77.67","0.078","0.0027","1.3132","25","102","127","569",""
"2025-09-30T20:12:08","llama3.1:8b-instruct-q4_0","80","2048","0.8","0.0848","77.59","0.0802","0.0046","1.4821","25","115","140","564",""
"2025-09-30T20:12:12","llama3.1:8b-instruct-q4_0","80","4096","0.2","2.9634","76.93","2.8204","0.1431","1.4039","25","108","133","537",""
"2025-09-30T20:12:14","llama3.1:8b-instruct-q4_0","80","4096","0.4","0.083","77.74","0.0796","0.0034","1.3379","25","104","129","565",""
"2025-09-30T20:12:15","llama3.1:8b-instruct-q4_0","80","4096","0.8","0.0991","77.7","0.0955","0.0036","1.3642","25","106","131","533",""
"2025-09-30T20:12:20","llama3.1:8b-instruct-q4_0","60","1024","0.2","3.2088","77.51","3.0717","0.137","1.6384","25","127","152","599",""
"2025-09-30T20:12:22","llama3.1:8b-instruct-q4_0","60","1024","0.4","0.0864","77.55","0.0825","0.0039","1.4185","25","110","135","587",""
"2025-09-30T20:12:23","llama3.1:8b-instruct-q4_0","60","1024","0.8","0.077","77.77","0.0729","0.0041","1.2729","25","99","124","527",""
"2025-09-30T20:12:28","llama3.1:8b-instruct-q4_0","60","2048","0.2","3.1761","77.24","3.0394","0.1367","1.4888","25","115","140","563",""
"2025-09-30T20:12:29","llama3.1:8b-instruct-q4_0","60","2048","0.4","0.0806","77.4","0.0772","0.0034","1.3953","25","108","133","579",""
"2025-09-30T20:12:31","llama3.1:8b-instruct-q4_0","60","2048","0.8","0.0961","78.01","0.0929","0.0032","1.282","25","100","125","530",""
"2025-09-30T20:12:35","llama3.1:8b-instruct-q4_0","60","4096","0.2","3.1233","77.69","2.9801","0.1432","1.3001","25","101","126","508",""
"2025-09-30T20:12:36","llama3.1:8b-instruct-q4_0","60","4096","0.4","0.0741","77.63","0.07","0.0041","1.4298","25","111","136","552",""
"2025-09-30T20:12:38","llama3.1:8b-instruct-q4_0","60","4096","0.8","0.0808","77.76","0.0766","0.0042","1.4404","25","112","137","611",""
"2025-09-30T20:12:43","llama3.1:8b-instruct-q4_0","40","1024","0.2","3.2022","77.29","3.0547","0.1475","1.4103","25","109","134","537",""
"2025-09-30T20:12:44","llama3.1:8b-instruct-q4_0","40","1024","0.4","0.0878","78.42","0.0833","0.0045","1.4155","25","111","136","592",""
"2025-09-30T20:12:45","llama3.1:8b-instruct-q4_0","40","1024","0.8","0.0751","78.06","0.0727","0.0024","1.217","25","95","120","509",""
"2025-09-30T20:12:50","llama3.1:8b-instruct-q4_0","40","2048","0.2","3.111","77.61","2.9735","0.1374","1.2757","25","99","124","518",""
"2025-09-30T20:12:51","llama3.1:8b-instruct-q4_0","40","2048","0.4","0.0835","77.82","0.0803","0.0032","1.3493","25","105","130","571",""
"2025-09-30T20:12:53","llama3.1:8b-instruct-q4_0","40","2048","0.8","0.1002","77.56","0.0958","0.0044","1.3925","25","108","133","566",""
"2025-09-30T20:12:57","llama3.1:8b-instruct-q4_0","40","4096","0.2","3.1716","77.11","3.0305","0.1412","1.4654","25","113","138","555",""
"2025-09-30T20:12:59","llama3.1:8b-instruct-q4_0","40","4096","0.4","0.0904","77.37","0.0876","0.0028","1.4993","25","116","141","598",""
"2025-09-30T20:13:01","llama3.1:8b-instruct-q4_0","40","4096","0.8","0.0909","77.44","0.0874","0.0035","1.5884","25","123","148","671",""
