num_gpu,num_ctx,temperature,mean_tokens_s,mean_ttft_s,mean_load_s,prompt_eval,eval_s_mean
40,1024,0.2,77.29,3.2022,3.0547,0.1475,1.4103
40,1024,0.4,78.42,0.0878,0.0833,0.0045,1.4155
40,1024,0.8,78.06,0.0751,0.0727,0.0024,1.217
40,2048,0.2,77.61,3.111,2.9735,0.1374,1.2757
40,2048,0.4,77.82,0.0835,0.0803,0.0032,1.3493
40,2048,0.8,77.56,0.1002,0.0958,0.0044,1.3925
40,4096,0.2,77.11,3.1716,3.0305,0.1412,1.4654
40,4096,0.4,77.37,0.0904,0.0876,0.0028,1.4993
40,4096,0.8,77.44,0.0909,0.0874,0.0035,1.5884
60,1024,0.2,77.51,3.2088,3.0717,0.137,1.6384
60,1024,0.4,77.55,0.0864,0.0825,0.0039,1.4185
60,1024,0.8,77.77,0.077,0.0729,0.0041,1.2729
60,2048,0.2,77.24,3.1761,3.0394,0.1367,1.4888
60,2048,0.4,77.4,0.0806,0.0772,0.0034,1.3953
60,2048,0.8,78.01,0.0961,0.0929,0.0032,1.282
60,4096,0.2,77.69,3.1233,2.9801,0.1432,1.3001
60,4096,0.4,77.63,0.0741,0.07,0.0041,1.4298
60,4096,0.8,77.76,0.0808,0.0766,0.0042,1.4404
80,1024,0.2,77.51,3.1338,2.995,0.1387,1.5353
80,1024,0.4,77.83,0.0791,0.0762,0.0028,1.4261
80,1024,0.8,77.76,0.1013,0.0988,0.0025,1.5047
80,2048,0.2,77.51,3.1445,3.0021,0.1424,1.3031
80,2048,0.4,77.67,0.0807,0.078,0.0027,1.3132
80,2048,0.8,77.59,0.0848,0.0802,0.0046,1.4821
80,4096,0.2,76.93,2.9634,2.8204,0.1431,1.4039
80,4096,0.4,77.74,0.083,0.0796,0.0034,1.3379
80,4096,0.8,77.7,0.0991,0.0955,0.0036,1.3642
999,1024,0.2,77.5,5.7669,5.5808,0.1861,1.2773
999,1024,0.4,77.93,0.0865,0.0817,0.0048,1.3089
999,1024,0.8,77.91,0.083,0.0787,0.0043,1.4248
999,2048,0.2,77.45,3.2816,3.1468,0.1347,1.3816
999,2048,0.4,77.21,0.0893,0.0859,0.0035,1.5413
999,2048,0.8,77.67,0.0821,0.0789,0.0033,1.4805
999,4096,0.2,77.53,4.1998,4.0573,0.1425,1.4317
999,4096,0.4,77.6,0.0806,0.0762,0.0044,1.4691
999,4096,0.8,77.6,0.0839,0.0796,0.0043,1.2757
